title,lat,lon
New York,40.6943,-73.9249
Los Angeles,34.1139,-118.4068
Chicago,41.8373,-87.6862
Miami,25.7839,-80.2102
Dallas,32.7936,-96.7662
Philadelphia,40.0077,-75.1339
Houston,29.7863,-95.3889
Atlanta,33.7627,-84.4224
Washington,38.9047,-77.0163
Boston,42.3188,-71.0846
Phoenix,33.5722,-112.0891
Seattle,47.6211,-122.3244
San Francisco,37.7562,-122.4430
Detroit,42.3834,-83.1024
San Diego,32.8312,-117.1225
Minneapolis,44.9635,-93.2678
Tampa,27.9942,-82.4451
Denver,39.7621,-104.8759
Brooklyn,40.6501,-73.9496
Queens,40.7498,-73.7976
Riverside,33.9381,-117.3948
Baltimore,39.3051,-76.6144
Las Vegas,36.2333,-115.2654
Portland,45.5372,-122.6500
San Antonio,29.4658,-98.5253
St. Louis,38.6358,-90.2451
Sacramento,38.5667,-121.4683
Orlando,28.4772,-81.3369
San Jose,37.3019,-121.8486
Cleveland,41.4767,-81.6804
Pittsburgh,40.4396,-79.9762
Austin,30.3004,-97.7522
Cincinnati,39.1413,-84.5061
Kansas City,39.1239,-94.5541
Manhattan,40.7834,-73.9662
Indianapolis,39.7771,-86.1458
Columbus,39.9862,-82.9850
Charlotte,35.2080,-80.8304
Virginia Beach,36.7335,-76.0435
Bronx,40.8501,-73.8662
Milwaukee,43.0642,-87.9673
Providence,41.8230,-71.4187
Jacksonville,30.3322,-81.6749
Salt Lake City,40.7777,-111.9306
Nashville,36.1715,-86.7843
Richmond,37.5295,-77.4756
Memphis,35.1046,-89.9773
Raleigh,35.8325,-78.6435
New Orleans,30.0687,-89.9288
Louisville,38.1663,-85.6485
Oklahoma City,35.4676,-97.5136
Bridgeport,41.1918,-73.1953
Buffalo,42.9016,-78.8487
Fort Worth,32.7811,-97.3473
Hartford,41.7661,-72.6834
Tucson,32.1545,-110.8782
Omaha,41.2627,-96.0522
El Paso,31.8479,-106.4309
Honolulu,21.3294,-157.8460
McAllen,26.2273,-98.2471
Albuquerque,35.1053,-106.6464
Birmingham,33.5277,-86.7987
Sarasota,27.3386,-82.5431
Dayton,39.7797,-84.1998
Rochester,43.1680,-77.6162
Fresno,36.7831,-119.7941
Allentown,40.5961,-75.4756
Tulsa,36.1284,-95.9042
Cape Coral,26.6446,-81.9956
Concord,37.9722,-122.0016
Colorado Springs,38.8674,-104.7606
Charleston,32.8153,-79.9628
Springfield,42.1155,-72.5395
Grand Rapids,42.9620,-85.6562
Mission Viejo,33.6095,-117.6550
Albany,42.6664,-73.7987
Knoxville,35.9692,-83.9496
Bakersfield,35.3529,-119.0359
Ogden,41.2278,-111.9682
Baton Rouge,30.4418,-91.1310
Akron,41.0798,-81.5219
New Haven,41.3112,-72.9246
Columbia,34.0376,-80.9037
Mesa,33.4017,-111.7180
Palm Bay,27.9550,-80.6627
Provo,40.2457,-111.6457
